predclass,age,workclass,native-country,education,marital-status,education-num,capital-gain,capital-loss,sex,race,relationship,sex-marital
0,20,3,7,4,3,9,0,0,0,4,4,3
0,11,3,7,4,3,9,0,0,0,2,4,3
0,13,3,8,5,0,8,0,24,0,1,5,0
1,17,1,7,1,0,12,0,0,1,4,0,5
0,12,1,7,4,1,9,0,0,1,4,1,6
1,31,4,7,2,0,15,0,51,1,4,0,5
1,20,3,7,4,0,9,0,0,1,4,0,5
0,31,3,1,0,3,11,0,0,0,4,4,3
0,15,0,7,5,1,8,0,0,1,2,3,6
1,59,3,7,6,0,13,0,0,1,4,0,5
1,27,3,7,1,0,12,112,0,1,4,0,5
0,30,4,7,6,1,13,0,0,0,4,1,1
0,3,3,7,4,1,9,0,0,0,4,3,1
0,12,3,7,5,1,8,0,0,1,4,1,6
1,15,4,7,5,0,8,98,0,1,4,0,5
0,0,5,7,3,1,5,120,0,0,4,3,1
0,13,3,7,3,1,6,0,0,1,4,3,6
0,14,1,7,5,1,8,0,0,0,4,1,1
0,25,3,7,5,0,8,0,0,1,4,0,5
0,7,3,7,1,1,12,0,0,1,4,2,6
1,21,3,7,7,0,14,0,0,1,4,0,5
1,39,4,1,5,0,8,0,50,1,4,0,5
0,11,3,7,4,0,9,68,0,0,4,5,0
0,19,3,7,5,1,8,0,0,0,4,3,1
0,36,3,7,3,0,4,0,0,1,4,0,5
0,39,4,7,4,0,9,0,0,1,4,0,5
1,32,1,7,0,0,10,0,0,1,2,0,5
0,38,3,7,4,0,9,0,0,1,4,0,5
0,5,3,7,5,1,8,0,0,1,4,1,6
0,4,3,7,4,1,9,0,0,0,4,3,1
0,23,3,7,1,0,12,0,0,1,4,0,5
0,13,3,3,1,1,12,0,0,1,2,3,6
1,12,1,7,1,0,12,0,0,1,4,0,5
0,2,3,7,4,1,9,0,0,1,2,3,6
1,30,3,7,1,0,12,0,0,0,4,5,0
0,3,3,7,4,1,9,0,36,0,4,3,1
1,14,3,7,0,0,11,0,0,1,4,0,5
0,18,5,7,5,0,8,0,0,1,4,0,5
0,22,3,7,4,3,9,0,0,1,4,1,8
0,11,3,7,0,1,11,0,0,0,4,1,1
0,7,3,7,5,1,8,0,43,0,4,1,1
0,21,4,7,5,0,8,70,0,1,4,0,5
0,20,3,7,1,0,12,0,0,1,4,0,5
0,29,3,7,0,3,11,0,0,0,2,1,3
1,21,0,4,6,0,13,0,0,1,4,0,5
0,26,4,7,5,0,8,0,0,1,4,0,5
0,10,3,7,0,0,10,0,0,0,4,5,0
0,3,3,7,4,1,9,0,0,1,4,3,6
1,32,3,7,4,0,9,0,0,1,1,0,5
0,44,4,7,5,0,8,0,0,1,4,0,5
0,10,3,7,4,1,9,0,0,0,4,3,1
0,2,3,6,4,1,9,0,0,1,4,3,6
1,28,3,7,0,1,10,0,23,0,4,1,1
0,53,3,7,4,1,9,0,0,1,4,2,6
0,14,3,7,5,1,8,0,0,0,2,4,1
0,5,3,7,4,0,9,0,0,1,4,0,5
0,19,3,7,5,4,8,0,0,0,4,4,4
0,47,3,7,3,0,6,0,67,1,4,0,5
0,26,5,7,4,3,9,0,0,0,4,1,3
0,30,1,6,4,3,9,0,0,0,4,4,3
0,17,3,7,5,1,8,0,0,0,4,1,1
0,16,3,5,1,1,12,0,0,0,1,2,1
0,4,3,7,5,1,8,0,0,1,4,3,6
1,35,5,7,5,3,8,0,0,1,4,1,8
0,31,3,7,5,0,8,0,0,1,4,0,5
0,6,3,7,1,1,12,0,0,1,4,1,6
0,54,4,7,4,3,9,0,44,1,2,4,8
0,12,3,7,5,3,8,0,0,1,4,1,8
0,25,3,7,1,3,12,0,0,1,2,2,8
0,51,5,7,3,3,1,0,0,0,4,1,3
0,8,3,7,5,1,8,0,0,0,4,4,1
0,27,4,7,6,3,13,0,0,0,1,4,3
0,11,3,1,5,1,8,0,0,0,1,1,1
1,28,4,7,6,0,13,0,0,1,4,0,5
0,19,3,6,4,3,9,0,0,0,4,4,3
0,22,0,7,0,1,11,0,0,1,4,1,6
0,29,1,7,6,4,13,0,0,1,4,4,9
0,1,3,7,3,1,6,0,0,1,4,3,6
0,49,1,7,0,4,10,0,0,0,4,1,4
0,10,3,7,5,1,8,0,56,1,4,1,6
0,11,1,7,5,0,8,0,0,1,4,0,5
1,34,3,7,4,0,9,0,55,1,4,0,5
0,10,3,7,1,1,12,0,0,1,4,1,6
1,11,1,7,1,0,12,0,0,1,4,0,5
0,10,3,7,5,2,8,0,0,0,4,4,2
0,4,3,7,5,1,8,0,0,1,2,3,6
0,17,3,7,5,1,8,0,0,1,2,1,6
0,1,3,7,5,1,8,0,0,1,4,3,6
0,16,3,7,1,0,12,0,0,1,4,0,5
1,27,1,7,4,0,9,0,0,1,2,0,5
0,26,3,7,4,3,9,0,0,0,4,1,3
0,13,3,7,4,1,9,0,0,1,2,1,6
1,23,3,6,3,0,3,0,0,1,4,0,5
1,20,0,7,4,0,9,0,0,1,4,0,5
0,17,3,7,5,0,8,0,0,1,2,0,5
0,24,4,7,1,3,12,0,0,0,4,1,3
0,36,5,7,1,3,12,0,0,0,4,1,3
0,14,3,7,6,0,13,0,0,0,4,5,0
1,41,1,7,2,0,15,0,0,1,4,0,5
0,21,3,7,4,3,9,0,0,0,2,1,3
0,7,3,7,4,0,9,0,0,1,4,0,5
0,24,1,7,1,0,12,0,0,1,2,0,5
0,30,3,7,4,0,9,0,0,1,4,0,5
0,24,0,7,1,0,12,0,0,1,4,0,5
0,6,3,6,3,0,2,0,0,1,4,2,5
0,19,3,7,4,3,9,0,0,1,4,1,8
1,23,0,7,6,1,13,109,0,0,4,1,1
1,18,3,7,6,0,13,95,0,1,4,2,5
0,7,4,7,5,1,8,0,0,1,4,1,6
0,9,3,7,6,1,13,0,49,0,4,1,1
0,2,5,3,5,1,8,0,0,1,4,3,6
1,34,3,7,1,0,12,0,0,1,4,0,5
0,25,1,7,4,1,9,0,13,0,4,1,1
0,20,1,7,5,3,8,0,0,0,4,4,3
0,1,3,7,3,1,6,0,0,0,4,3,1
1,19,3,7,1,0,12,95,0,1,2,0,5
0,18,3,7,5,3,8,0,0,1,4,1,8
1,41,4,7,5,0,8,112,0,0,4,5,0
0,0,3,7,3,1,6,0,0,0,4,3,1
0,27,1,7,5,0,8,0,0,1,2,0,5
1,20,3,7,5,0,8,0,0,1,4,0,5
0,18,3,7,4,1,9,0,0,0,0,1,1
0,43,3,7,5,0,8,0,0,1,1,0,5
1,37,4,7,3,0,3,0,0,1,4,0,5
1,20,3,7,1,1,12,0,0,1,2,1,6
0,33,3,7,0,3,11,0,0,0,4,1,3
0,21,3,4,1,0,12,0,0,1,4,0,5
0,28,3,7,1,0,12,0,0,1,4,0,5
0,8,3,7,3,1,5,0,0,1,4,1,6
0,14,3,7,4,0,9,0,0,1,4,0,5
0,47,5,7,3,3,1,0,0,1,4,1,8
0,73,3,7,5,1,8,0,70,1,2,1,6
0,37,3,7,5,0,8,0,0,1,2,0,5
0,36,1,7,3,1,0,0,0,0,4,1,1
0,1,3,7,5,1,8,0,0,0,4,3,1
0,43,5,7,3,3,5,0,0,0,0,1,3
0,49,4,7,5,0,8,12,0,1,4,0,5
0,58,3,6,0,4,10,0,0,0,4,1,4
0,48,3,7,5,3,8,0,0,0,4,1,3
0,18,3,7,3,3,6,62,0,1,2,1,8
0,24,3,7,5,3,8,0,0,0,2,4,3
0,8,3,7,4,1,9,0,0,1,4,1,6
0,16,3,7,4,3,9,0,0,0,3,2,3
1,11,3,7,7,1,14,0,0,1,4,1,6
0,42,1,7,5,0,8,0,0,1,4,0,5
0,23,1,7,4,1,9,0,0,0,4,1,1
1,24,3,4,1,0,12,0,0,1,4,0,5
1,21,1,7,6,0,13,0,0,1,4,0,5
0,6,3,7,5,1,8,0,0,1,4,3,6
1,23,3,7,1,0,12,0,0,1,4,0,5
0,24,4,7,5,0,8,0,0,0,4,5,0
0,7,1,7,0,0,11,0,0,1,4,0,5
0,3,5,7,4,1,9,0,0,1,4,3,6
0,21,3,7,4,3,9,0,41,1,4,1,8
0,39,3,8,5,0,8,0,0,1,4,0,5
1,41,3,7,5,0,8,0,0,1,4,0,5
0,15,3,7,5,1,8,0,0,0,4,1,1
1,23,3,7,0,0,11,0,55,1,4,0,5
0,28,3,8,5,0,8,0,0,1,4,0,5
1,24,3,7,7,0,14,0,0,0,4,5,0
0,25,3,7,1,0,12,0,0,0,2,5,0
0,42,1,7,3,4,5,0,0,0,2,4,4
0,2,1,7,4,1,9,0,0,1,4,3,6
0,41,3,7,4,1,9,0,0,1,4,1,6
1,25,4,5,5,0,8,0,0,1,1,0,5
0,3,3,7,5,1,8,0,0,0,4,3,1
0,15,3,7,5,3,8,0,0,0,4,1,3
0,28,3,7,0,4,10,0,0,0,4,1,4
0,33,3,7,3,3,3,0,0,1,4,1,8
0,19,3,7,1,3,12,0,0,0,4,3,3
0,28,3,7,5,0,8,0,0,1,4,0,5
0,0,3,7,3,1,6,0,0,1,4,3,6
0,42,3,7,4,0,9,68,0,1,4,0,5
0,9,3,7,3,0,6,0,0,1,4,0,5
1,20,4,5,4,0,9,0,0,1,1,0,5
0,2,5,1,4,1,9,0,0,1,4,3,6
1,47,3,7,5,0,8,0,0,1,4,0,5
0,16,3,7,1,1,12,0,0,0,4,1,1
1,16,3,7,5,0,8,0,0,0,4,5,0
1,44,3,7,5,0,8,0,0,1,4,0,5
0,0,3,7,3,1,4,6,0,1,4,3,6
0,33,4,7,6,0,13,36,0,1,4,0,5
0,10,1,7,6,1,13,0,0,1,4,3,6
0,13,3,7,5,3,8,0,0,0,4,3,3
0,26,3,7,5,0,8,0,0,1,2,0,5
1,27,3,7,4,0,9,95,0,1,4,0,5
0,18,3,7,4,1,9,0,0,0,4,1,1
0,8,3,7,4,1,9,0,0,0,4,3,1
1,7,3,7,4,0,9,95,0,0,4,5,0
0,5,3,3,1,1,12,0,0,0,4,1,1
1,25,1,7,4,0,9,81,0,1,4,0,5
0,17,3,7,0,3,11,0,0,0,2,4,3
0,43,3,7,1,3,12,0,0,0,4,1,3
0,4,3,7,5,1,8,0,0,1,4,3,6
1,40,0,7,6,0,13,112,0,1,4,0,5
1,24,3,7,7,0,14,0,0,1,4,0,5
0,33,3,7,4,3,9,0,0,1,4,1,8
0,8,3,7,1,1,12,0,0,0,4,1,1
0,33,3,6,3,0,3,0,0,1,4,0,5
0,19,3,7,1,0,12,0,0,1,4,0,5
0,14,3,7,5,3,8,0,0,0,4,1,3
0,12,1,7,1,1,12,0,0,1,4,1,6
0,4,3,7,4,1,9,0,0,1,4,3,6
0,10,3,7,1,1,12,0,0,0,2,4,1
0,48,3,7,5,0,8,0,0,1,4,0,5
0,20,4,7,1,3,12,0,0,0,4,1,3
0,22,5,8,6,0,13,60,0,0,1,5,0
0,7,3,7,5,1,8,0,0,1,4,3,6
0,21,3,7,5,3,8,0,0,1,4,1,8
1,31,3,7,1,0,12,98,0,1,4,0,5
0,4,3,7,4,1,9,0,0,0,1,1,1
1,14,3,7,5,0,8,0,0,1,4,0,5
1,38,3,7,5,0,8,70,0,1,4,0,5
0,7,3,5,4,0,9,0,0,0,1,5,0
0,26,3,7,5,3,8,0,0,0,4,1,3
0,9,3,7,0,1,11,0,0,1,4,1,6
0,29,3,7,0,1,11,0,0,0,4,1,1
1,18,3,7,0,0,11,0,0,1,4,0,5
1,24,4,7,4,0,9,0,0,1,4,0,5
0,9,3,7,1,1,12,0,0,1,4,1,6
1,17,3,2,6,0,13,95,0,1,1,0,5
0,2,5,7,4,1,9,0,0,0,2,3,1
1,19,4,7,1,3,12,0,0,0,2,1,3
0,5,3,7,4,1,9,0,0,1,4,3,6
0,7,3,7,4,1,9,0,0,1,4,1,6
0,60,4,7,4,0,9,0,0,1,4,0,5
0,5,3,6,3,0,2,0,0,0,4,2,0
0,12,3,7,4,1,9,0,0,0,4,1,1
0,45,3,7,5,4,8,0,0,0,4,1,4
0,22,4,7,5,0,8,0,0,1,4,0,5
0,26,3,7,4,0,9,0,19,1,4,0,5
0,18,3,7,5,3,8,0,0,1,4,1,8
0,12,3,7,3,1,6,0,0,0,4,1,1
0,59,4,7,6,0,13,0,0,1,4,0,5
0,46,4,7,5,0,8,0,0,1,4,0,5
0,6,5,7,0,1,10,0,0,0,2,3,1
1,26,3,7,4,0,9,0,50,0,4,5,0
0,41,4,7,5,0,8,0,0,1,4,0,5
0,49,3,7,5,1,8,24,0,1,4,1,6
0,24,3,7,4,1,9,0,0,1,2,1,6
0,9,3,7,1,1,12,0,0,1,4,1,6
0,30,3,7,0,1,10,0,0,1,4,1,6
0,38,1,7,3,0,5,0,0,1,4,0,5
0,36,3,7,5,0,8,0,0,1,4,0,5
0,0,3,6,3,1,2,0,0,1,4,2,6
0,13,3,7,5,1,8,0,0,1,4,2,6
0,32,3,7,6,1,13,0,0,1,4,1,6
0,2,3,6,5,1,8,0,0,1,2,4,6
0,28,3,7,5,0,8,0,0,1,2,0,5
0,9,3,7,0,1,11,0,0,1,4,1,6
1,21,3,7,0,0,10,95,0,1,4,0,5
1,19,1,7,5,0,8,95,0,1,4,0,5
0,16,3,7,5,1,8,0,0,1,4,1,6
0,5,1,7,4,1,9,0,0,0,2,3,1
0,26,4,7,1,1,12,0,0,1,4,1,6
0,50,5,7,3,0,6,0,0,1,4,0,5
0,13,5,7,0,3,10,0,0,0,4,4,3
0,39,3,4,0,2,11,0,0,1,4,1,7
0,14,3,7,1,1,12,0,0,1,4,3,6
1,16,3,7,1,0,12,0,0,1,4,0,5
0,9,3,7,5,0,8,0,0,1,4,0,5
1,16,3,7,1,0,12,0,0,1,4,0,5
0,29,1,7,3,0,6,0,0,1,4,0,5
1,42,5,7,1,0,12,0,0,1,4,0,5
1,21,0,7,5,0,8,0,0,1,4,0,5
0,48,3,7,3,4,6,0,0,1,3,4,9
1,23,3,7,0,0,10,0,0,1,4,0,5
0,25,3,7,5,0,8,0,0,0,4,5,0
0,9,4,4,3,0,4,0,0,1,4,0,5
0,19,3,7,3,0,5,0,0,0,4,5,0
1,45,3,7,6,0,13,0,0,1,4,0,5
0,26,3,7,1,0,12,0,0,1,4,0,5
1,26,3,7,1,3,12,0,23,1,4,1,8
0,5,3,7,5,2,8,0,0,1,4,1,7
0,11,3,7,5,0,8,0,0,1,4,0,5
0,39,4,7,4,0,9,0,0,1,4,0,5
0,5,3,7,0,1,11,0,0,0,4,1,1
1,40,3,7,1,3,12,0,0,0,4,1,3
0,22,3,7,5,3,8,0,0,0,4,4,3
0,9,0,7,4,1,9,0,0,0,4,4,1
0,0,3,7,3,1,6,0,0,1,4,3,6
1,23,1,7,0,0,10,0,0,1,4,0,5
0,28,3,7,5,0,8,0,0,1,2,0,5
0,27,3,7,5,1,8,0,0,1,2,1,6
0,3,1,7,4,1,9,0,0,0,4,3,1
0,16,3,7,5,0,8,0,0,0,4,5,0
0,6,3,7,4,1,9,0,0,1,4,1,6
0,29,4,7,6,3,13,0,0,1,4,1,8
0,21,3,7,5,0,8,0,0,1,4,0,5
0,37,3,7,5,3,8,0,0,1,4,1,8
0,29,3,7,3,3,2,0,77,0,4,1,3
0,8,3,7,4,0,9,0,0,1,4,0,5
0,29,3,7,4,3,9,0,0,0,4,1,3
0,19,1,7,4,0,9,0,0,0,4,5,0
0,6,3,7,5,1,8,0,0,0,4,1,1
0,12,3,7,5,3,8,0,0,1,4,1,8
1,27,3,7,4,0,9,0,81,0,4,5,0
0,2,3,7,4,1,9,0,0,0,4,3,1
0,2,3,7,5,1,8,0,0,0,4,2,1
1,18,3,7,5,0,8,0,0,0,4,5,0
0,10,3,7,1,1,12,0,0,1,4,1,6
0,29,4,7,0,3,11,0,0,1,4,1,8
1,17,1,8,1,0,12,98,0,1,4,0,5
0,17,3,7,5,1,8,0,0,0,4,1,1
0,27,3,7,4,0,9,0,0,1,4,0,5
0,28,3,7,4,3,9,0,0,0,4,4,3
0,3,5,7,5,1,8,0,0,0,4,2,1
1,8,3,7,1,0,12,0,0,1,4,0,5
1,35,4,7,1,0,12,0,0,1,4,0,5
0,3,3,7,4,1,9,0,0,1,4,3,6
0,11,3,7,4,1,9,0,0,0,4,1,1
1,33,1,7,1,0,12,0,0,1,4,0,5
0,17,3,7,0,3,10,0,0,0,4,1,3
0,11,3,6,3,0,3,0,67,1,3,0,5
1,24,3,7,6,0,13,0,55,1,4,0,5
0,11,3,7,5,0,8,0,0,1,4,0,5
0,29,4,7,5,0,8,0,0,1,4,0,5
1,11,5,7,4,0,9,0,50,0,4,5,0
0,15,3,7,4,0,9,0,0,1,4,0,5
0,24,1,7,4,3,9,0,0,0,2,1,3
0,7,3,7,5,1,8,0,0,0,2,4,1
0,16,3,7,4,3,9,0,0,0,4,4,3
1,29,3,7,2,0,15,112,0,1,4,0,5
0,14,1,7,4,0,9,0,0,1,4,0,5
1,18,3,7,3,3,7,0,0,1,4,1,8
0,35,3,6,3,0,1,0,0,1,4,0,5
0,13,3,7,3,1,6,0,0,0,4,3,1
0,17,1,7,3,3,6,0,0,1,2,1,8
0,17,1,7,5,3,8,0,0,0,4,4,3
0,3,3,7,4,0,9,0,0,1,4,0,5
0,0,3,7,3,1,6,28,0,1,4,3,6
1,15,1,7,1,0,12,0,0,0,4,5,0
0,12,3,7,5,3,8,0,0,1,4,1,8
0,16,3,7,3,1,5,0,0,0,4,4,1
0,8,3,7,5,0,8,0,0,1,4,0,5
0,19,0,7,6,1,13,0,15,1,4,1,6
0,6,3,6,5,1,8,0,0,1,4,1,6
1,46,4,7,5,0,8,0,0,1,4,0,5
0,30,1,7,6,0,13,0,0,1,4,0,5
0,63,5,7,5,4,8,0,0,1,4,1,9
0,0,5,7,3,1,6,0,0,1,4,3,6
0,23,4,7,1,2,12,27,0,0,4,1,2
1,13,3,7,0,0,11,0,0,0,4,5,0
0,10,3,5,4,1,9,0,56,1,1,3,6
1,16,3,7,6,0,13,0,0,1,4,0,5
0,17,1,7,5,1,8,3,0,1,2,1,6
0,17,1,7,4,1,9,0,0,0,4,1,1
0,6,3,7,4,0,9,0,0,1,4,0,5
0,25,1,7,4,0,9,0,0,0,4,5,0
0,12,3,7,1,1,12,0,0,1,4,1,6
0,28,3,7,5,3,8,0,0,0,4,1,3
0,7,0,7,5,1,8,0,0,1,4,3,6
1,27,3,7,4,0,9,0,0,1,4,0,5
0,10,3,6,3,1,4,0,0,1,4,2,6
0,3,3,7,4,1,9,0,0,1,4,1,6
0,27,3,7,5,4,8,0,0,0,2,4,4
0,34,3,7,5,0,8,0,0,1,0,0,5
0,3,3,7,5,0,8,0,0,1,4,0,5
0,0,5,7,3,1,6,0,0,0,4,3,1
0,2,3,7,5,1,8,0,0,0,2,3,1
1,28,4,7,4,0,9,0,0,1,4,0,5
1,43,3,7,5,0,8,0,0,1,4,0,5
1,25,3,8,0,0,11,0,0,1,2,0,5
1,27,4,7,5,0,8,0,0,0,4,5,0
1,23,3,7,0,0,10,0,0,1,1,0,5
0,13,3,7,5,0,8,0,0,0,4,5,0
0,21,3,7,4,0,9,0,0,1,2,0,5
0,6,3,7,5,0,8,0,0,1,4,0,5
0,15,5,7,4,0,9,0,0,1,4,0,5
0,27,3,7,0,1,11,0,0,1,4,3,6
0,37,1,7,5,0,8,0,0,1,2,0,5
0,15,3,7,1,0,12,0,0,1,4,0,5
0,33,3,7,3,2,1,0,0,1,4,4,7
0,7,3,7,1,1,12,0,0,0,4,1,1
0,20,3,7,5,0,8,0,0,0,4,5,0
0,35,3,7,5,3,8,0,0,1,4,4,8
0,21,3,7,4,0,9,0,0,1,4,0,5
1,32,3,7,6,0,13,0,55,1,4,0,5
1,13,3,7,1,0,12,0,0,0,4,5,0
1,43,3,7,4,1,9,0,0,1,4,4,6
0,5,5,7,4,1,9,0,0,1,4,3,6
0,18,3,7,5,1,8,0,0,1,4,1,6
0,13,3,7,5,1,8,0,0,1,4,1,6
0,50,3,7,0,3,10,0,0,0,4,1,3
0,29,3,7,1,1,12,0,0,0,4,1,1
0,0,3,7,3,1,4,0,0,1,4,1,6
0,5,3,7,4,1,9,0,0,1,4,3,6
0,10,3,7,3,1,5,0,0,1,4,1,6
0,6,3,7,5,1,8,0,0,0,4,4,1
0,16,3,4,0,0,11,0,0,1,4,0,5
0,26,4,7,4,0,9,0,0,1,4,0,5
0,11,1,7,1,1,12,0,0,1,4,1,6
0,24,3,7,5,2,8,0,0,0,4,4,2
0,35,5,7,3,1,7,3,0,1,2,2,6
0,8,3,7,4,2,9,0,0,0,2,3,2
0,46,5,7,3,0,1,0,0,1,4,0,5
0,42,1,7,5,0,8,0,0,1,4,0,5
0,28,1,7,1,3,12,0,0,0,4,4,3
1,21,3,7,1,0,12,112,0,1,4,0,5
0,23,3,7,5,1,8,0,0,0,4,1,1
0,29,0,7,5,3,8,0,0,1,4,1,8
0,18,3,7,0,1,11,0,0,0,4,1,1
0,17,3,7,5,3,8,0,0,0,4,4,3
0,16,3,7,1,1,12,0,0,1,4,3,6
0,24,3,7,5,3,8,0,0,0,4,4,3
0,3,3,7,4,1,9,0,0,1,4,3,6
0,6,3,6,3,1,2,0,0,1,4,3,6
0,9,3,7,4,1,9,0,0,0,4,1,1
0,55,5,7,5,0,8,0,0,1,4,0,5
0,6,1,4,5,1,8,0,0,1,4,1,6
0,45,1,7,5,0,8,0,0,1,4,0,5
0,35,3,7,4,0,9,0,0,1,4,0,5
0,41,3,3,4,3,9,0,0,0,4,4,3
0,8,3,7,1,1,12,0,0,0,4,1,1
0,7,3,7,1,1,12,0,0,1,2,1,6
0,2,3,7,4,1,9,0,0,1,4,3,6
0,26,3,7,4,0,9,0,0,1,4,0,5
0,30,1,7,5,3,8,0,0,0,2,4,3
0,22,3,7,5,3,8,0,0,0,4,4,3
0,32,3,7,0,2,10,0,14,1,4,4,7
0,36,5,7,3,4,2,0,0,0,2,4,4
0,15,3,7,0,1,10,0,0,1,4,1,6
1,17,3,7,4,0,9,0,0,1,4,0,5
0,11,3,7,5,3,8,0,0,1,4,1,8
0,40,5,7,0,4,10,0,0,0,4,4,4
0,8,3,7,4,1,9,0,0,0,0,1,1
0,3,5,7,4,1,9,0,0,1,4,3,6
0,4,5,7,4,1,9,0,0,0,4,4,1
1,17,3,7,1,0,12,0,0,1,4,0,5
1,21,4,7,1,0,12,112,0,1,4,0,5
1,33,3,7,5,0,8,98,0,1,4,0,5
0,7,1,7,4,3,9,0,0,1,2,1,8
1,20,1,7,4,0,9,0,0,1,4,0,5
1,27,3,7,4,3,9,0,0,1,4,4,8
0,11,3,7,4,0,9,0,0,0,4,5,0
1,25,3,7,1,0,12,0,0,1,4,0,5
0,57,3,7,4,3,9,0,0,0,4,1,3
0,21,4,7,5,0,8,0,0,1,4,0,5
0,27,4,7,6,0,13,0,0,1,4,0,5
0,27,3,6,3,3,6,0,0,0,3,4,3
0,9,3,7,5,1,8,0,0,1,4,1,6
0,19,3,7,5,0,8,0,0,1,2,0,5
1,24,3,7,0,0,11,0,0,0,4,5,0
